ProductID,ProductCategory,Price
B0096BUBP8,Health & Personal Care,19.95
B0797M8SFS,Health & Personal Care,52.99
B0B4Z2PMHZ,Health & Personal Care,31.78
B0B4328BFW,Health & Personal Care,23.99
B07218LWDP,Health & Personal Care,5.44
B00NK4CH18,Health & Personal Care,6.99
B0C524HJR2,Health & Personal Care,3.86
B088BC7M2G,Health & Personal Care,15.99
B072NHL9JQ,Health & Personal Care,18.25
B082YRQ3YF,Health & Personal Care,15.32
B06XYVYCL6,Health & Personal Care,13.99
B0C1GG9V4L,Health & Personal Care,6.99
B08W821MK1,Health & Personal Care,51.25
B08LT8JXNM,Health & Personal Care,19.99
B07BY7ZLYX,Health & Personal Care,99.95
B07SRG228B,Health & Personal Care,9.99
B0BDJX1HCG,Health & Personal Care,13.05
B000N21C9S,Health & Personal Care,59.99
B07Q87HGWB,Health & Personal Care,169.99
B07SBKR2WY,Health & Personal Care,39.95
B006COCL6E,Health & Personal Care,99.99
B09JVBGJ2D,Health & Personal Care,24.96
B013OW7FA8,Health & Personal Care,11.99
B0BVR3PMJQ,Health & Personal Care,9.33
B001AAHOL2,Health & Personal Care,3.7
B004CG3OAG,Health & Personal Care,11.99
B00XV5F33A,Health & Personal Care,29.26
B005DTK79W,Health & Personal Care,55.0
B01N1YKVQO,Health & Personal Care,6.06
B00LC9ZDZA,Health & Personal Care,20.99
B08G3B7QJJ,Health & Personal Care,9.99
B07CKCW4GB,Health & Personal Care,20.49
B093KXJPGX,Health & Personal Care,12.99
B06VYH2MKL,Health & Personal Care,67.0
9560645889,Health & Personal Care,7.0
B01ECLEMUQ,Health & Personal Care,12.99
B011M30K4E,Health & Personal Care,5.99
B09D5P75MN,Health & Personal Care,32.99
B00OM60CTM,Health & Personal Care,23.95
B07DRMR6VV,Health & Personal Care,15.98
B08BQZHB9D,Health & Personal Care,7.9
B0B72FJW69,Health & Personal Care,24.99
B002Y6KWJC,Health & Personal Care,53.82
B09Z8P3HLM,Health & Personal Care,14.95
B074WPP49H,Health & Personal Care,14.99
B01MYUKYZP,Health & Personal Care,62.15
B004C7MTLA,Health & Personal Care,23.97
B07HS7TGNM,Health & Personal Care,7.19
B07FTK5DWF,Health & Personal Care,59.99
B07XVVVB8W,Health & Personal Care,7.4
B01J7EIPRO,Health & Personal Care,7.2
B06XKQDKTR,Health & Personal Care,9.99
B07236J9WD,Health & Personal Care,12.88
B00NB8CPLA,Health & Personal Care,139.99
B0C6H6RRVB,Health & Personal Care,31.66
B001GCVKD2,Health & Personal Care,89.6
B01ASC9YVU,Health & Personal Care,26.99
B08Z2SDRL2,Health & Personal Care,22.99
B002Q10SVM,Health & Personal Care,7.2
B08CHNJNYP,Health & Personal Care,17.95
B0BSRPX53Z,Health & Personal Care,26.99
B001MP5X2M,Health & Personal Care,4.03
B00JIA3KJ6,Health & Personal Care,48.0
B00008LUPV,Health & Personal Care,12.49
B088LCFKJX,Health & Personal Care,3.56
B0BQ5G9Y4N,Health & Personal Care,5.79
B003XWXPPO,Health & Personal Care,19.16
B08K2MYBZY,Health & Personal Care,14.99
B07FRVCV4G,Health & Personal Care,9.49
B01IU24RXU,Health & Personal Care,12.98
B08ZCLW41P,Health & Personal Care,14.5
B07C8D64F1,Health & Personal Care,25.0
B0BPZR2W56,Health & Personal Care,26.95
B01I24959M,Health & Personal Care,55.38
B07KDVRDTK,Health & Personal Care,10.98
B019EDF2K6,Health & Personal Care,9.99
B00VE6RV3I,Health & Personal Care,19.0
B0B5HQDWZ9,Health & Personal Care,26.99
B07R218K7G,Health & Personal Care,6.99
B00NFZUR4G,Health & Personal Care,28.96
B099RY95WM,Health & Personal Care,10.54
B0086K87LU,Health & Personal Care,45.95
B016149YJ6,Health & Personal Care,23.65
B00RNH4HW0,Health & Personal Care,16.98
B00I99Q1TS,Health & Personal Care,3.99
B09M8Y4J47,Health & Personal Care,29.95
B071WYN7FW,Health & Personal Care,23.99
B0C1HHXQ94,Health & Personal Care,13.99
B01IAIRYFC,Health & Personal Care,22.4
B09RHV7K91,Health & Personal Care,13.99
B085DHW4Z8,Health & Personal Care,30.0
B07PD1XH2L,Health & Personal Care,13.99
B01LTGDHJE,Health & Personal Care,21.0
B00LHE8GK4,Health & Personal Care,7.74
B000KPWJA4,Health & Personal Care,9.38
B0836KTVS1,Health & Personal Care,19.99
B07F2NQJFF,Health & Personal Care,9.98
B0B6CHP71Z,Health & Personal Care,49.99
B013KHTKAA,Health & Personal Care,17.59
B0BPWYCBQG,Health & Personal Care,16.12
B00UCH2NQ0,Health & Personal Care,19.99
B004JZMWLW,Health & Personal Care,6.55
B0C26471T8,Health & Personal Care,7.19
B08FBL5CR4,Health & Personal Care,18.98
B01MG0C5X1,Health & Personal Care,13.97
B00GA82BS0,Health & Personal Care,38.97
B0047VWYSO,Health & Personal Care,23.8
B01MDRNFH5,Health & Personal Care,34.99
B076JX6R5V,Health & Personal Care,7.89
B01FFQQNRW,Health & Personal Care,11.99
B08LMLQK83,Health & Personal Care,21.99
B01MTKHVXS,Health & Personal Care,14.69
B07MXPNL7C,Health & Personal Care,9.25
B0BTWKCMFJ,Health & Personal Care,31.95
B0979WC2RQ,Health & Personal Care,63.44
B0BP9TTQBM,Health & Personal Care,21.48
B00UCEQCZ6,Health & Personal Care,19.99
B00CPH03SK,Health & Personal Care,8.75
B09XFC1X43,Health & Personal Care,39.99
B0027A8QUC,Health & Personal Care,49.99
B018MW1HLI,Health & Personal Care,19.99
B07BLVT28P,Health & Personal Care,10.95
B07VX81L84,Health & Personal Care,12.99
B08HHPDD7T,Health & Personal Care,4.95
B01BFGUCSC,Health & Personal Care,39.99
B07571B1QC,Health & Personal Care,39.9
B002VPS630,Health & Personal Care,39.08
B00CM6Z4N8,Health & Personal Care,15.95
B087TGT34Y,Health & Personal Care,40.89
B07LCMZ5PH,Health & Personal Care,13.95
B01CKMP406,Health & Personal Care,59.0
B011X3C8CK,Health & Personal Care,9.95
B0961HHG6L,Health & Personal Care,27.81
B0B79Z75LY,Health & Personal Care,8.75
B0BRYQRW25,Health & Personal Care,32.95
B01IAIH3RG,Health & Personal Care,58.23
B0967VTK2F,Health & Personal Care,6.29
B000Y9LXNU,Health & Personal Care,26.99
B0B5F3TYN5,Health & Personal Care,23.99
B08VW7YMGS,Health & Personal Care,14.6
B095JJDCX7,Health & Personal Care,169.0
B07W3QF88S,Health & Personal Care,16.35
B00023DHV4,Health & Personal Care,6.99
B07G4FNLB5,Health & Personal Care,29.69
B07DPPLTZ9,Health & Personal Care,19.95
B01ATO4XRM,Health & Personal Care,39.99
B07JCWQ1WY,Health & Personal Care,9.99
B087SHSDRG,Health & Personal Care,28.0
B003950R2E,Health & Personal Care,6.98
B00KWN3X6S,Health & Personal Care,107.0
B01LWTHIWD,Health & Personal Care,38.95
B07DR44RMK,Health & Personal Care,6.99
B01IAI1DEK,Health & Personal Care,84.01
B01AVK2A38,Health & Personal Care,25.99
B078X2T2B8,Health & Personal Care,49.95
B00V5BL8Y0,Health & Personal Care,13.99
B000UYC2RK,Health & Personal Care,22.02
B077NX2QDG,Health & Personal Care,32.29
B01CUOGPKC,Health & Personal Care,12.99
B07QH33QDM,Health & Personal Care,11.99
B09VBVY2Y7,Health & Personal Care,42.97
B07GQ38JY1,Health & Personal Care,9.99
B098NP5PXG,Health & Personal Care,3.99
B07ZTPNNFK,Health & Personal Care,9.64
B09WLTSLGF,Health & Personal Care,5.99
B003LUDNIM,Health & Personal Care,49.99
B09CHH7WDP,Health & Personal Care,114.99
B079DRYLKD,Health & Personal Care,2.99
B01F7MF654,Health & Personal Care,24.99
B0BR8WTXV5,Health & Personal Care,71.5
B00M0B0G2Y,Health & Personal Care,22.83
B019DE83HA,Health & Personal Care,22.99
B07CQQTWMY,Health & Personal Care,5.59
B08T1PL231,Health & Personal Care,15.89
B01N23QJ5E,Health & Personal Care,179.99
B01M10VOTP,Health & Personal Care,10.29
B0B5RFSJ6Z,Health & Personal Care,16.99
B00FQGMIKI,Health & Personal Care,87.35
B00295IW54,Health & Personal Care,9.09
B0058ED6UY,Health & Personal Care,39.78
B00RY8UCJU,Health & Personal Care,20.88
B01ET1OE70,Health & Personal Care,11.45
B008WNUUDY,Health & Personal Care,18.99
B07PXHS4P1,Health & Personal Care,34.99
B08FSY69NB,Health & Personal Care,35.8
B00OVO2P04,Health & Personal Care,9.99
B072QF1BZT,Health & Personal Care,59.99
B06XXP8YRL,Health & Personal Care,22.95
B00MTD3KRG,Health & Personal Care,74.15
B0C2Y5NT68,Health & Personal Care,6.99
B07C2BBM1L,Health & Personal Care,9.39
B07G9MTFX8,Health & Personal Care,34.99
B076PRZ9J3,Health & Personal Care,12.99
B07YCRC51Y,Health & Personal Care,36.95
B07L9SXDQL,Health & Personal Care,18.99
B00275FJKW,Health & Personal Care,14.5
B077W1MMG8,Health & Personal Care,30.99
B07H4LC1HB,Health & Personal Care,8.99
B076H8Z7P7,Health & Personal Care,5.97
B00GZR9VC0,Health & Personal Care,11.97
B07K8G552L,Health & Personal Care,10.97
B08GL2BSQT,Health & Personal Care,19.99
B07NPNNR3P,Health & Personal Care,43.3
B01COLIUVI,Health & Personal Care,6.56
B08B1HRVDS,Health & Personal Care,14.98
B01IQ9RIBU,Health & Personal Care,31.0
B072V432L2,Health & Personal Care,9.49
B0056P61AM,Health & Personal Care,12.0
B0BFPLV1GQ,Health & Personal Care,16.99
B0BFKFXXWK,Health & Personal Care,99.99
B08BY22TN1,Health & Personal Care,14.95
B00I38VRT4,Health & Personal Care,3.22
B00QJQUOPK,Health & Personal Care,65.95
B07JGSJHWK,Health & Personal Care,18.33
B08Q399T7W,Health & Personal Care,9.49
B07BN2Y8PV,Health & Personal Care,35.69
B0048F3N8E,Health & Personal Care,9.99
B001FOLMR0,Health & Personal Care,25.99
B07D8597KX,Health & Personal Care,35.35
B07JZWRZ91,Health & Personal Care,44.95
B07QZF82VR,Health & Personal Care,32.95
B086LLCY7H,Health & Personal Care,15.99
B0793F89NT,Health & Personal Care,8.99
B0083HB1H8,Health & Personal Care,13.9
B01JH4J77G,Health & Personal Care,22.91
B0BQ47DNW2,Health & Personal Care,44.99
B06XJMN887,Health & Personal Care,24.96
B074PYDBPZ,Health & Personal Care,9.3
B0BJ341161,Health & Personal Care,19.0
B00BNWSGI2,Health & Personal Care,15.0
B07CNXP29G,Health & Personal Care,24.95
B07JVSCQTQ,Health & Personal Care,15.98
B07B9FNLJW,Health & Personal Care,29.99
B005MHBP5K,Health & Personal Care,86.5
B08X9LB1WC,Health & Personal Care,59.88
B07KT9WTS7,Health & Personal Care,57.74
B07XHNN9MP,Health & Personal Care,34.0
B0BC292NSQ,Health & Personal Care,23.88
B071ZNGVVY,Health & Personal Care,9.89
B07CC5XBC9,Health & Personal Care,6.84
B0BPZXFWYV,Health & Personal Care,64.39
B019ZK4QP0,Health & Personal Care,9.95
B00XWVGLZM,Health & Personal Care,15.13
B07878QLVN,Health & Personal Care,19.99
B0014JVJQK,Health & Personal Care,19.99
